001046,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.69'], ['KHTN', '7.75'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '27.44']]
228023,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '8.13'], ['KHTN', '10'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.63'], ['Tổng Toán, Văn, Anh', '25.63']]
228087,[['Ngữ văn', '7.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '8'], ['LS&&ĐL', '9'], ['Tổng các môn', '43.63'], ['Tổng Toán, Văn, Anh', '26.63']]
004098,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '7.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '43.63'], ['Tổng Toán, Văn, Anh', '27.13']]
069020,[['Ngữ văn', '8.75'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '9.5'], ['LS&&ĐL', '7'], ['Tổng các môn', '43.50'], ['Tổng Toán, Văn, Anh', '27.00']]
228072,[['Ngữ văn', '7.75'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '9.5'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '43.50'], ['Tổng Toán, Văn, Anh', '26.50']]
184041,[['Ngữ văn', '7.5'], ['Toán', '9.75'], ['Tiếng Anh', '8.75'], ['KHTN', '9'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.50'], ['Tổng Toán, Văn, Anh', '26.00']]
024366,[['Ngữ văn', '6.25'], ['Toán', '9.75'], ['Tiếng Anh', '10'], ['KHTN', '9.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.50'], ['Tổng Toán, Văn, Anh', '26.00']]
024087,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.44'], ['Tổng Toán, Văn, Anh', '27.94']]
068127,[['Ngữ văn', '7'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '10'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '43.38'], ['Tổng Toán, Văn, Anh', '25.88']]
185077,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '8.25'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.25'], ['Tổng Toán, Văn, Anh', '26.50']]
024183,[['Ngữ văn', '6.75'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '9'], ['LS&&ĐL', '9.25'], ['Tổng các môn', '43.25'], ['Tổng Toán, Văn, Anh', '25.00']]
228021,[['Ngữ văn', '6'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '10'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '43.19'], ['Tổng Toán, Văn, Anh', '25.69']]
183055,[['Ngữ văn', '8'], ['Toán', '8.75'], ['Tiếng Anh', '9.69'], ['KHTN', '8.75'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.19'], ['Tổng Toán, Văn, Anh', '26.44']]
024173,[['Ngữ văn', '6.5'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '9.5'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '43.19'], ['Tổng Toán, Văn, Anh', '26.19']]
024246,[['Ngữ văn', '7.75'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '8'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.19'], ['Tổng Toán, Văn, Anh', '26.69']]
132054,[['Ngữ văn', '6.5'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '9.5'], ['LS&&ĐL', '8.1'], ['Tổng các môn', '43.16'], ['Tổng Toán, Văn, Anh', '25.56']]
078021,[['Ngữ văn', '7.75'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '9'], ['LS&&ĐL', '7'], ['Tổng các môn', '43.13'], ['Tổng Toán, Văn, Anh', '27.13']]
185074,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '7'], ['LS&&ĐL', '9.5'], ['Tổng các môn', '43.13'], ['Tổng Toán, Văn, Anh', '26.63']]
073073,[['Ngữ văn', '8.75'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '7.25'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.06'], ['Tổng Toán, Văn, Anh', '27.81']]
179031,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.06'], ['KHTN', '9.5'], ['LS&&ĐL', '7'], ['Tổng các môn', '43.06'], ['Tổng Toán, Văn, Anh', '26.56']]
228041,[['Ngữ văn', '6.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.06'], ['KHTN', '10'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.06'], ['Tổng Toán, Văn, Anh', '25.06']]
153086,[['Ngữ văn', '6'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '10'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.06'], ['Tổng Toán, Văn, Anh', '25.06']]
024072,[['Ngữ văn', '8'], ['Toán', '8.75'], ['Tiếng Anh', '10'], ['KHTN', '7.75'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.00'], ['Tổng Toán, Văn, Anh', '26.75']]
149024,[['Ngữ văn', '5.75'], ['Toán', '10'], ['Tiếng Anh', '8.75'], ['KHTN', '10'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '43.00'], ['Tổng Toán, Văn, Anh', '24.50']]
073062,[['Ngữ văn', '8.5'], ['Toán', '10'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '7'], ['Tổng các môn', '42.94'], ['Tổng Toán, Văn, Anh', '26.94']]
024184,[['Ngữ văn', '8'], ['Toán', '8.75'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '8.75'], ['Tổng các môn', '42.94'], ['Tổng Toán, Văn, Anh', '25.19']]
103207,[['Ngữ văn', '6.75'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '9.5'], ['LS&&ĐL', '7'], ['Tổng các môn', '42.94'], ['Tổng Toán, Văn, Anh', '26.44']]
155083,[['Ngữ văn', '7.25'], ['Toán', '9'], ['Tiếng Anh', '9.69'], ['KHTN', '8.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.94'], ['Tổng Toán, Văn, Anh', '25.94']]
004068,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '9'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '42.94'], ['Tổng Toán, Văn, Anh', '27.19']]
006271,[['Ngữ văn', '7.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.06'], ['KHTN', '7.6'], ['LS&&ĐL', '9'], ['Tổng các môn', '42.91'], ['Tổng Toán, Văn, Anh', '26.31']]
078030,[['Ngữ văn', '6.25'], ['Toán', '10'], ['Tiếng Anh', '8.13'], ['KHTN', '9.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '42.88'], ['Tổng Toán, Văn, Anh', '24.38']]
041056,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.06'], ['KHTN', '7.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.81'], ['Tổng Toán, Văn, Anh', '27.31']]
024212,[['Ngữ văn', '8.25'], ['Toán', '8.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7.6'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '42.79'], ['Tổng Toán, Văn, Anh', '26.69']]
132040,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '10'], ['KHTN', '9.5'], ['LS&&ĐL', '6'], ['Tổng các môn', '42.75'], ['Tổng Toán, Văn, Anh', '27.25']]
184109,[['Ngữ văn', '8.75'], ['Toán', '8.5'], ['Tiếng Anh', '8.75'], ['KHTN', '9'], ['LS&&ĐL', '7.75'], ['Tổng các môn', '42.75'], ['Tổng Toán, Văn, Anh', '26.00']]
