132077,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '7.5'], ['LS&&ĐL', '6'], ['Tổng các môn', '40.69'], ['Tổng Toán, Văn, Anh', '27.19']]
068169,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7.25'], ['LS&&ĐL', '5.85'], ['Tổng các môn', '40.29'], ['Tổng Toán, Văn, Anh', '27.19']]
041030,[['Ngữ văn', '7.75'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '5.5'], ['LS&&ĐL', '5.5'], ['Tổng các môn', '38.19'], ['Tổng Toán, Văn, Anh', '27.19']]
013216,[['Ngữ văn', '8.25'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '4.75'], ['LS&&ĐL', '6'], ['Tổng các môn', '37.94'], ['Tổng Toán, Văn, Anh', '27.19']]
228067,[['Ngữ văn', '8'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '10'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '44.63'], ['Tổng Toán, Văn, Anh', '27.13']]
001012,[['Ngữ văn', '7.75'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '44.63'], ['Tổng Toán, Văn, Anh', '27.13']]
004098,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '7.5'], ['LS&&ĐL', '9'], ['Tổng các môn', '43.63'], ['Tổng Toán, Văn, Anh', '27.13']]
078021,[['Ngữ văn', '7.75'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '9'], ['LS&&ĐL', '7'], ['Tổng các môn', '43.13'], ['Tổng Toán, Văn, Anh', '27.13']]
151086,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '8.25'], ['LS&&ĐL', '7'], ['Tổng các môn', '42.38'], ['Tổng Toán, Văn, Anh', '27.13']]
103095,[['Ngữ văn', '8'], ['Toán', '9.75'], ['Tiếng Anh', '9.38'], ['KHTN', '8.5'], ['LS&&ĐL', '5.75'], ['Tổng các môn', '41.38'], ['Tổng Toán, Văn, Anh', '27.13']]
228008,[['Ngữ văn', '8'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '7.5'], ['LS&&ĐL', '8'], ['Tổng các môn', '42.56'], ['Tổng Toán, Văn, Anh', '27.06']]
138007,[['Ngữ văn', '8.5'], ['Toán', '9.5'], ['Tiếng Anh', '9.06'], ['KHTN', '8.5'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '42.31'], ['Tổng Toán, Văn, Anh', '27.06']]
148088,[['Ngữ văn', '8'], ['Toán', '10'], ['Tiếng Anh', '9.06'], ['KHTN', '5.5'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '40.06'], ['Tổng Toán, Văn, Anh', '27.06']]
100021,[['Ngữ văn', '8.25'], ['Toán', '9.75'], ['Tiếng Anh', '9.06'], ['KHTN', '5.75'], ['LS&&ĐL', '7'], ['Tổng các môn', '39.81'], ['Tổng Toán, Văn, Anh', '27.06']]
103178,[['Ngữ văn', '9.25'], ['Toán', '10'], ['Tiếng Anh', '7.81'], ['KHTN', '6.1'], ['LS&&ĐL', '6.25'], ['Tổng các môn', '39.41'], ['Tổng Toán, Văn, Anh', '27.06']]
151025,[['Ngữ văn', '7.25'], ['Toán', '9.75'], ['Tiếng Anh', '10'], ['KHTN', '8.5'], ['LS&&ĐL', '8.75'], ['Tổng các môn', '44.25'], ['Tổng Toán, Văn, Anh', '27.00']]
069020,[['Ngữ văn', '8.75'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '9.5'], ['LS&&ĐL', '7'], ['Tổng các môn', '43.50'], ['Tổng Toán, Văn, Anh', '27.00']]
138002,[['Ngữ văn', '8.5'], ['Toán', '9.75'], ['Tiếng Anh', '8.75'], ['KHTN', '7.5'], ['LS&&ĐL', '7.5'], ['Tổng các môn', '42.00'], ['Tổng Toán, Văn, Anh', '27.00']]
170064,[['Ngữ văn', '7.75'], ['Toán', '9.25'], ['Tiếng Anh', '10'], ['KHTN', '7'], ['LS&&ĐL', '7'], ['Tổng các môn', '41.00'], ['Tổng Toán, Văn, Anh', '27.00']]
138006,[['Ngữ văn', '9'], ['Toán', '9.25'], ['Tiếng Anh', '8.75'], ['KHTN', '6.5'], ['LS&&ĐL', '7'], ['Tổng các môn', '40.50'], ['Tổng Toán, Văn, Anh', '27.00']]
024024,[['Ngữ văn', '7.75'], ['Toán', '9.25'], ['Tiếng Anh', '10'], ['KHTN', '7.6'], ['LS&&ĐL', '5.75'], ['Tổng các môn', '40.35'], ['Tổng Toán, Văn, Anh', '27.00']]
024062,[['Ngữ văn', '8'], ['Toán', '9'], ['Tiếng Anh', '10'], ['KHTN', '6.75'], ['LS&&ĐL', '6.5'], ['Tổng các môn', '40.25'], ['Tổng Toán, Văn, Anh', '27.00']]
068003,[['Ngữ văn', '7.25'], ['Toán', '9.75'], ['Tiếng Anh', '10'], ['KHTN', '8.5'], ['LS&&ĐL', '4.5'], ['Tổng các môn', '40.00'], ['Tổng Toán, Văn, Anh', '27.00']]
029049,[['Ngữ văn', '7.25'], ['Toán', '9.75'], ['Tiếng Anh', '10'], ['KHTN', '6.6'], ['LS&&ĐL', '6'], ['Tổng các môn', '39.60'], ['Tổng Toán, Văn, Anh', '27.00']]
019095,[['Ngữ văn', '8.75'], ['Toán', '9.5'], ['Tiếng Anh', '8.75'], ['KHTN', '6.25'], ['LS&&ĐL', '4'], ['Tổng các môn', '37.25'], ['Tổng Toán, Văn, Anh', '27.00']]
028027,[['Ngữ văn', '8'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '10'], ['LS&&ĐL', '9.5'], ['Tổng các môn', '46.44'], ['Tổng Toán, Văn, Anh', '26.94']]
004106,[['Ngữ văn', '7.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.69'], ['KHTN', '9'], ['LS&&ĐL', '8'], ['Tổng các môn', '43.94'], ['Tổng Toán, Văn, Anh', '26.94']]
028178,[['Ngữ văn', '8.5'], ['Toán', '8.75'], ['Tiếng Anh', '9.69'], ['KHTN', '10'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '43.69'], ['Tổng Toán, Văn, Anh', '26.94']]
073062,[['Ngữ văn', '8.5'], ['Toán', '10'], ['Tiếng Anh', '8.44'], ['KHTN', '9'], ['LS&&ĐL', '7'], ['Tổng các môn', '42.94'], ['Tổng Toán, Văn, Anh', '26.94']]
004103,[['Ngữ văn', '7.5'], ['Toán', '9.75'], ['Tiếng Anh', '9.69'], ['KHTN', '7.6'], ['LS&&ĐL', '6.35'], ['Tổng các môn', '40.89'], ['Tổng Toán, Văn, Anh', '26.94']]
170040,[['Ngữ văn', '8'], ['Toán', '9.25'], ['Tiếng Anh', '9.69'], ['KHTN', '7.75'], ['LS&&ĐL', '5.1'], ['Tổng các môn', '39.79'], ['Tổng Toán, Văn, Anh', '26.94']]
019209,[['Ngữ văn', '8.5'], ['Toán', '10'], ['Tiếng Anh', '8.44'], ['KHTN', '7.1'], ['LS&&ĐL', '5.5'], ['Tổng các môn', '39.54'], ['Tổng Toán, Văn, Anh', '26.94']]
161037,[['Ngữ văn', '7.75'], ['Toán', '9.5'], ['Tiếng Anh', '9.69'], ['KHTN', '6.25'], ['LS&&ĐL', '6.25'], ['Tổng các môn', '39.44'], ['Tổng Toán, Văn, Anh', '26.94']]
247090,[['Ngữ văn', '7.25'], ['Toán', '10'], ['Tiếng Anh', '9.69'], ['KHTN', '5.75'], ['LS&&ĐL', '5.5'], ['Tổng các môn', '38.19'], ['Tổng Toán, Văn, Anh', '26.94']]
024084,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '9.5'], ['LS&&ĐL', '8.5'], ['Tổng các môn', '44.88'], ['Tổng Toán, Văn, Anh', '26.88']]
103099,[['Ngữ văn', '9'], ['Toán', '8.5'], ['Tiếng Anh', '9.38'], ['KHTN', '6'], ['LS&&ĐL', '9'], ['Tổng các môn', '41.88'], ['Tổng Toán, Văn, Anh', '26.88']]
095038,[['Ngữ văn', '7.5'], ['Toán', '10'], ['Tiếng Anh', '9.38'], ['KHTN', '6.5'], ['LS&&ĐL', '6.75'], ['Tổng các môn', '40.13'], ['Tổng Toán, Văn, Anh', '26.88']]
006257,[['Ngữ văn', '8'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '6.5'], ['LS&&ĐL', '3.75'], ['Tổng các môn', '37.13'], ['Tổng Toán, Văn, Anh', '26.88']]
132037,[['Ngữ văn', '8'], ['Toán', '9.5'], ['Tiếng Anh', '9.38'], ['KHTN', '4.5'], ['LS&&ĐL', '5.25'], ['Tổng các môn', '36.63'], ['Tổng Toán, Văn, Anh', '26.88']]
079084,[['Ngữ văn', '8'], ['Toán', '9.75'], ['Tiếng Anh', '9.06'], ['KHTN', '7.75'], ['LS&&ĐL', '7'], ['Tổng các môn', '41.56'], ['Tổng Toán, Văn, Anh', '26.81']]
042046,[['Ngữ văn', '8.25'], ['Toán', '9.5'], ['Tiếng Anh', '9.06'], ['KHTN', '6'], ['LS&&ĐL', '7.1'], ['Tổng các môn', '39.91'], ['Tổng Toán, Văn, Anh', '26.81']]
