210017, [['Ngữ văn', '4.75'], ['Toán', '8.25'], ['Tiếng Anh', '7.5'], ['KHTN', '6.5'], ['LS&&ĐL', '5.5']]
110017, [['Ngữ văn', '5.25'], ['Toán', '10'], ['Tiếng Anh', '5.31'], ['KHTN', '7'], ['LS&&ĐL', '6.5']]
060017, [['Ngữ văn', '3.75'], ['Toán', '5'], ['Tiếng Anh', '3.13'], ['KHTN', '5.25'], ['LS&&ĐL', '6.5']]
010018, [['Ngữ văn', '6'], ['Toán', '9'], ['Tiếng Anh', '7.19'], ['KHTN', '4'], ['LS&&ĐL', '6.5']]
160018, [['Ngữ văn', ''], ['Toán', ''], ['Tiếng Anh', ''], ['KHTN', ''], ['LS&&ĐL', '']]
110018, [['Ngữ văn', '4'], ['Toán', '9.75'], ['Tiếng Anh', '7.5'], ['KHTN', '4.5'], ['LS&&ĐL', '6.5']]
210018, [['Ngữ văn', ''], ['Toán', ''], ['Tiếng Anh', ''], ['KHTN', ''], ['LS&&ĐL', '']]
060018, [['Ngữ văn', '3.5'], ['Toán', '3'], ['Tiếng Anh', '4.06'], ['KHTN', '2.85'], ['LS&&ĐL', '3.6']]
110019, [['Ngữ văn', ''], ['Toán', ''], ['Tiếng Anh', ''], ['KHTN', ''], ['LS&&ĐL', '']]
010019, [['Ngữ văn', '6.5'], ['Toán', '8.75'], ['Tiếng Anh', '5.94'], ['KHTN', '5'], ['LS&&ĐL', '6.5']]
160019, [['Ngữ văn', '1.5'], ['Toán', '3.2'], ['Tiếng Anh', '4.06'], ['KHTN', '2.85'], ['LS&&ĐL', '4']]
210019, [['Ngữ văn', '5.25'], ['Toán', '6'], ['Tiếng Anh', '7.5'], ['KHTN', '5.1'], ['LS&&ĐL', '7.75']]
060019, [['Ngữ văn', '5.25'], ['Toán', '3.25'], ['Tiếng Anh', '2.19'], ['KHTN', '5'], ['LS&&ĐL', '2']]
010020, [['Ngữ văn', '4.75'], ['Toán', '7.25'], ['Tiếng Anh', '7.81'], ['KHTN', '4.75'], ['LS&&ĐL', '5.5']]
110020, [['Ngữ văn', '2'], ['Toán', '7.1'], ['Tiếng Anh', '5.94'], ['KHTN', '6.5'], ['LS&&ĐL', '3.5']]
160020, [['Ngữ văn', '4.5'], ['Toán', '5.5'], ['Tiếng Anh', '4.06'], ['KHTN', '5.1'], ['LS&&ĐL', '5']]
210020, [['Ngữ văn', '5.75'], ['Toán', '5.75'], ['Tiếng Anh', '5.94'], ['KHTN', '4.35'], ['LS&&ĐL', '8']]
060020, [['Ngữ văn', '6.25'], ['Toán', '8.5'], ['Tiếng Anh', '6.56'], ['KHTN', '8.1'], ['LS&&ĐL', '6']]
110021, [['Ngữ văn', '3.75'], ['Toán', '9'], ['Tiếng Anh', '7.19'], ['KHTN', '5.75'], ['LS&&ĐL', '6']]
010021, [['Ngữ văn', '6.75'], ['Toán', '7.25'], ['Tiếng Anh', '8.75'], ['KHTN', '4.75'], ['LS&&ĐL', '7']]
060021, [['Ngữ văn', '4.5'], ['Toán', '3.75'], ['Tiếng Anh', '5.31'], ['KHTN', '4.75'], ['LS&&ĐL', '4.35']]
210021, [['Ngữ văn', '5.25'], ['Toán', '5.5'], ['Tiếng Anh', '3.13'], ['KHTN', '5.75'], ['LS&&ĐL', '4.25']]
160021, [['Ngữ văn', '5'], ['Toán', '5.75'], ['Tiếng Anh', '3.13'], ['KHTN', '5.25'], ['LS&&ĐL', '4.1']]
160022, [['Ngữ văn', '2.5'], ['Toán', '3.6'], ['Tiếng Anh', '2.81'], ['KHTN', '4'], ['LS&&ĐL', '3.25']]
010022, [['Ngữ văn', '5.25'], ['Toán', '6'], ['Tiếng Anh', '7.5'], ['KHTN', '5.1'], ['LS&&ĐL', '4.25']]
210022, [['Ngữ văn', '3.5'], ['Toán', '6'], ['Tiếng Anh', '7.5'], ['KHTN', '5.75'], ['LS&&ĐL', '6']]
110022, [['Ngữ văn', '5.75'], ['Toán', '9.25'], ['Tiếng Anh', '7.5'], ['KHTN', '6.5'], ['LS&&ĐL', '7']]
060022, [['Ngữ văn', '5'], ['Toán', '8'], ['Tiếng Anh', '5'], ['KHTN', '8.1'], ['LS&&ĐL', '5']]
160023, [['Ngữ văn', '5'], ['Toán', '6.5'], ['Tiếng Anh', '5.63'], ['KHTN', '6.6'], ['LS&&ĐL', '6']]
110023, [['Ngữ văn', '5.25'], ['Toán', '7.25'], ['Tiếng Anh', '7.19'], ['KHTN', '6'], ['LS&&ĐL', '6.5']]
010023, [['Ngữ văn', '5'], ['Toán', '5.75'], ['Tiếng Anh', '5.94'], ['KHTN', '4.5'], ['LS&&ĐL', '4.6']]
060023, [['Ngữ văn', '6.25'], ['Toán', '6.25'], ['Tiếng Anh', '5.63'], ['KHTN', '4.85'], ['LS&&ĐL', '5.75']]
210023, [['Ngữ văn', '2.25'], ['Toán', '3.25'], ['Tiếng Anh', '3.44'], ['KHTN', '2.35'], ['LS&&ĐL', '1.75']]
160024, [['Ngữ văn', '8'], ['Toán', '7.5'], ['Tiếng Anh', '6.56'], ['KHTN', '6.1'], ['LS&&ĐL', '7']]
060024, [['Ngữ văn', '5.75'], ['Toán', '7.5'], ['Tiếng Anh', '6.88'], ['KHTN', '8.5'], ['LS&&ĐL', '6.5']]
110024, [['Ngữ văn', '3'], ['Toán', '3.25'], ['Tiếng Anh', '3.44'], ['KHTN', '7'], ['LS&&ĐL', '3.5']]
010024, [['Ngữ văn', '5'], ['Toán', '5.6'], ['Tiếng Anh', '5.63'], ['KHTN', '4.5'], ['LS&&ĐL', '4.6']]
210024, [['Ngữ văn', '3.25'], ['Toán', '7.1'], ['Tiếng Anh', '7.19'], ['KHTN', '6.25'], ['LS&&ĐL', '6']]
160025, [['Ngữ văn', '4'], ['Toán', '6.25'], ['Tiếng Anh', '5.63'], ['KHTN', '5.6'], ['LS&&ĐL', '7']]
060025, [['Ngữ văn', '4'], ['Toán', '5'], ['Tiếng Anh', '6.56'], ['KHTN', '6.6'], ['LS&&ĐL', '3.25']]
010025, [['Ngữ văn', '5.75'], ['Toán', '5.6'], ['Tiếng Anh', '8.44'], ['KHTN', '5.25'], ['LS&&ĐL', '4.75']]
110025, [['Ngữ văn', '3.75'], ['Toán', '8.5'], ['Tiếng Anh', '5.94'], ['KHTN', '5'], ['LS&&ĐL', '5.75']]
210025, [['Ngữ văn', '4.25'], ['Toán', '4.25'], ['Tiếng Anh', '4.06'], ['KHTN', '3.75'], ['LS&&ĐL', '3.5']]
060026, [['Ngữ văn', '4.25'], ['Toán', '4'], ['Tiếng Anh', '4.06'], ['KHTN', '3.85'], ['LS&&ĐL', '4.1']]
110026, [['Ngữ văn', '6.5'], ['Toán', '7.75'], ['Tiếng Anh', '3.75'], ['KHTN', '5'], ['LS&&ĐL', '5.1']]
160026, [['Ngữ văn', '5.25'], ['Toán', '7.75'], ['Tiếng Anh', '5.31'], ['KHTN', '5.6'], ['LS&&ĐL', '4.25']]
010026, [['Ngữ văn', '2.25'], ['Toán', '4.75'], ['Tiếng Anh', '8.44'], ['KHTN', '2.85'], ['LS&&ĐL', '4.75']]
210026, [['Ngữ văn', '3.25'], ['Toán', '3.75'], ['Tiếng Anh', '1.56'], ['KHTN', '4.6'], ['LS&&ĐL', '4.25']]
060027, [['Ngữ văn', '5.75'], ['Toán', '8'], ['Tiếng Anh', '6.56'], ['KHTN', '7.75'], ['LS&&ĐL', '7']]
160027, [['Ngữ văn', '5'], ['Toán', '5.75'], ['Tiếng Anh', '3.13'], ['KHTN', '3.75'], ['LS&&ĐL', '4.6']]
110027, [['Ngữ văn', '4.25'], ['Toán', '5.35'], ['Tiếng Anh', '5.94'], ['KHTN', '4.75'], ['LS&&ĐL', '6.5']]
210027, [['Ngữ văn', '3.75'], ['Toán', '5.25'], ['Tiếng Anh', '2.5'], ['KHTN', '2.85'], ['LS&&ĐL', '5.1']]
010027, [['Ngữ văn', '3'], ['Toán', '5.1'], ['Tiếng Anh', '7.81'], ['KHTN', '2.25'], ['LS&&ĐL', '1.5']]
060028, [['Ngữ văn', '4'], ['Toán', '5.25'], ['Tiếng Anh', '6.25'], ['KHTN', '3.6'], ['LS&&ĐL', '7']]
110028, [['Ngữ văn', '4.25'], ['Toán', '8'], ['Tiếng Anh', '7.5'], ['KHTN', '5.25'], ['LS&&ĐL', '4.25']]
210028, [['Ngữ văn', '3.5'], ['Toán', '4.25'], ['Tiếng Anh', '3.13'], ['KHTN', '4.2'], ['LS&&ĐL', '4.25']]
160028, [['Ngữ văn', '4.5'], ['Toán', '4'], ['Tiếng Anh', '2.5'], ['KHTN', '3.6'], ['LS&&ĐL', '5.35']]
010028, [['Ngữ văn', '3.75'], ['Toán', '4.6'], ['Tiếng Anh', '6.56'], ['KHTN', '1.25'], ['LS&&ĐL', '1']]
160029, [['Ngữ văn', '6.75'], ['Toán', '4.75'], ['Tiếng Anh', '1.88'], ['KHTN', '4.25'], ['LS&&ĐL', '3.1']]
010029, [['Ngữ văn', '4.5'], ['Toán', '4.85'], ['Tiếng Anh', '5.94'], ['KHTN', '4.6'], ['LS&&ĐL', '4']]
110029, [['Ngữ văn', '5'], ['Toán', '7.75'], ['Tiếng Anh', '9.69'], ['KHTN', '5.5'], ['LS&&ĐL', '4.25']]
210029, [['Ngữ văn', '4.25'], ['Toán', '5.25'], ['Tiếng Anh', '2.81'], ['KHTN', '5.25'], ['LS&&ĐL', '4.1']]
060029, [['Ngữ văn', '3.75'], ['Toán', '8'], ['Tiếng Anh', '6.25'], ['KHTN', '5.6'], ['LS&&ĐL', '7.5']]
110030, [['Ngữ văn', '6.5'], ['Toán', '7.5'], ['Tiếng Anh', '5'], ['KHTN', '4.1'], ['LS&&ĐL', '6']]
010030, [['Ngữ văn', '3'], ['Toán', '4.5'], ['Tiếng Anh', '5.31'], ['KHTN', '5.5'], ['LS&&ĐL', '2.35']]
060030, [['Ngữ văn', '5'], ['Toán', '7.75'], ['Tiếng Anh', '6.56'], ['KHTN', '7.75'], ['LS&&ĐL', '7.5']]
210030, [['Ngữ văn', '5'], ['Toán', '6.25'], ['Tiếng Anh', '2.81'], ['KHTN', '5'], ['LS&&ĐL', '6']]
160030, [['Ngữ văn', '6'], ['Toán', '8.75'], ['Tiếng Anh', '5.63'], ['KHTN', '5.25'], ['LS&&ĐL', '7']]
