002014,[['Ngữ văn', '5.75'], ['Toán', '5.95'], ['Tiếng Anh', '6.88'], ['KHTN', '4.1'], ['LS&&ĐL', '5.5']]
002015,[['Ngữ văn', '3.25'], ['Toán', '4.1'], ['Tiếng Anh', '6.56'], ['KHTN', '3.25'], ['LS&&ĐL', '4.1']]
002016,[['Ngữ văn', '2.5'], ['Toán', '3.1'], ['Tiếng Anh', '2.81'], ['KHTN', '4.25'], ['LS&&ĐL', '2.6']]
002017,[['Ngữ văn', '7'], ['Toán', '5.6'], ['Tiếng Anh', '8.44'], ['KHTN', '4'], ['LS&&ĐL', '5']]
002018,[['Ngữ văn', '6.5'], ['Toán', '6.5'], ['Tiếng Anh', '4.06'], ['KHTN', '5.5'], ['LS&&ĐL', '3']]
002019,[['Ngữ văn', '6.25'], ['Toán', '5.85'], ['Tiếng Anh', '5'], ['KHTN', '3.1'], ['LS&&ĐL', '5.6']]
002020,[['Ngữ văn', '6'], ['Toán', '6.1'], ['Tiếng Anh', '5.31'], ['KHTN', '2.5'], ['LS&&ĐL', '5']]
002021,[['Ngữ văn', '4.25'], ['Toán', '5.1'], ['Tiếng Anh', '4.38'], ['KHTN', '5.85'], ['LS&&ĐL', '5.1']]
002022,[['Ngữ văn', '2.75'], ['Toán', '2.25'], ['Tiếng Anh', '4.38'], ['KHTN', '2.25'], ['LS&&ĐL', '3.25']]
002023,[['Ngữ văn', '2.25'], ['Toán', '1.75'], ['Tiếng Anh', '1.88'], ['KHTN', '3.6'], ['LS&&ĐL', '3.75']]
002024,[['Ngữ văn', '1.5'], ['Toán', '2.75'], ['Tiếng Anh', '3.13'], ['KHTN', '4.85'], ['LS&&ĐL', '3.1']]
002025,[['Ngữ văn', '8.25'], ['Toán', '8.35'], ['Tiếng Anh', '8.44'], ['KHTN', '6'], ['LS&&ĐL', '5.6']]
002026,[['Ngữ văn', '7.75'], ['Toán', '6.5'], ['Tiếng Anh', '6.88'], ['KHTN', '5.5'], ['LS&&ĐL', '4.6']]
002027,[['Ngữ văn', '6.5'], ['Toán', '7.1'], ['Tiếng Anh', '4.38'], ['KHTN', '6'], ['LS&&ĐL', '4.6']]
002028,[['Ngữ văn', '6.5'], ['Toán', '6.1'], ['Tiếng Anh', '7.81'], ['KHTN', '3.5'], ['LS&&ĐL', '6']]
002029,[['Ngữ văn', '5'], ['Toán', '6.1'], ['Tiếng Anh', '4.38'], ['KHTN', '3.7'], ['LS&&ĐL', '4']]
002030,[['Ngữ văn', '2.75'], ['Toán', '2.6'], ['Tiếng Anh', '5.31'], ['KHTN', '2.7'], ['LS&&ĐL', '3']]
002031,[['Ngữ văn', '4.5'], ['Toán', '6.5'], ['Tiếng Anh', '3.13'], ['KHTN', '2.75'], ['LS&&ĐL', '6.5']]
002032,[['Ngữ văn', '4'], ['Toán', '6.25'], ['Tiếng Anh', '6.56'], ['KHTN', '2.75'], ['LS&&ĐL', '3.5']]
002033,[['Ngữ văn', '4.25'], ['Toán', '7.5'], ['Tiếng Anh', '7.19'], ['KHTN', '3.75'], ['LS&&ĐL', '4']]
002034,[['Ngữ văn', '5'], ['Toán', '7.1'], ['Tiếng Anh', '4.06'], ['KHTN', '2.75'], ['LS&&ĐL', '3.35']]
002035,[['Ngữ văn', '6.5'], ['Toán', '6.5'], ['Tiếng Anh', '7.19'], ['KHTN', '5.5'], ['LS&&ĐL', '1.5']]
002036,[['Ngữ văn', '3.25'], ['Toán', '5.75'], ['Tiếng Anh', '4.69'], ['KHTN', '5.25'], ['LS&&ĐL', '5.6']]
002037,[['Ngữ văn', '7.5'], ['Toán', '8.5'], ['Tiếng Anh', '8.44'], ['KHTN', '5.25'], ['LS&&ĐL', '4.5']]
002038,[['Ngữ văn', '5.75'], ['Toán', '3.25'], ['Tiếng Anh', '5.63'], ['KHTN', '5.25'], ['LS&&ĐL', '3.75']]
002039,[['Ngữ văn', ''], ['Toán', ''], ['Tiếng Anh', ''], ['KHTN', ''], ['LS&&ĐL', '']]
002040,[['Ngữ văn', '7'], ['Toán', '7'], ['Tiếng Anh', '9.38'], ['KHTN', '6.35'], ['LS&&ĐL', '6']]
002041,[['Ngữ văn', '5.75'], ['Toán', '4.5'], ['Tiếng Anh', '5.31'], ['KHTN', '5'], ['LS&&ĐL', '5.25']]
002042,[['Ngữ văn', '6.75'], ['Toán', '6.25'], ['Tiếng Anh', '5.63'], ['KHTN', '3.5'], ['LS&&ĐL', '5']]
002043,[['Ngữ văn', '4.5'], ['Toán', '7'], ['Tiếng Anh', '5.63'], ['KHTN', '4.1'], ['LS&&ĐL', '6']]
002044,[['Ngữ văn', '4'], ['Toán', '7'], ['Tiếng Anh', '6.56'], ['KHTN', '5'], ['LS&&ĐL', '2.25']]
002045,[['Ngữ văn', '8'], ['Toán', '7.5'], ['Tiếng Anh', '5.94'], ['KHTN', '4.1'], ['LS&&ĐL', '3.5']]
002046,[['Ngữ văn', '5.75'], ['Toán', '7'], ['Tiếng Anh', '7.19'], ['KHTN', '4.75'], ['LS&&ĐL', '2.85']]
002047,[['Ngữ văn', '3.75'], ['Toán', '6.5'], ['Tiếng Anh', '8.13'], ['KHTN', '6'], ['LS&&ĐL', '7.75']]
002048,[['Ngữ văn', '4'], ['Toán', '6.5'], ['Tiếng Anh', '7.19'], ['KHTN', '4.25'], ['LS&&ĐL', '4.35']]
002049,[['Ngữ văn', '4.25'], ['Toán', '4.75'], ['Tiếng Anh', '8.75'], ['KHTN', '5.75'], ['LS&&ĐL', '6.35']]
002050,[['Ngữ văn', '7'], ['Toán', '2.95'], ['Tiếng Anh', '6.56'], ['KHTN', '4.75'], ['LS&&ĐL', '2.6']]
002051,[['Ngữ văn', '3.25'], ['Toán', '5.5'], ['Tiếng Anh', '6.88'], ['KHTN', '5.5'], ['LS&&ĐL', '3.6']]
002052,[['Ngữ văn', '4.75'], ['Toán', '5.5'], ['Tiếng Anh', '6.56'], ['KHTN', '4.75'], ['LS&&ĐL', '3.6']]
002053,[['Ngữ văn', '1.5'], ['Toán', '2.85'], ['Tiếng Anh', '5.31'], ['KHTN', '2.75'], ['LS&&ĐL', '3.1']]
002054,[['Ngữ văn', '5.5'], ['Toán', '5.75'], ['Tiếng Anh', '6.25'], ['KHTN', '4.75'], ['LS&&ĐL', '8']]
